City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Dukat,RU,62.55,155.55,-23.89,96,10,2.98,clear sky
80,Beruwala,LK,6.4788,79.9828,74.39,89,69,7.45,broken clouds
81,Marienburg,PL,54.0359,19.0266,33.89,79,9,10.29,clear sky
82,Pevek,RU,69.7008,170.3133,6.62,95,100,6.11,light snow
83,Okhotsk,RU,59.3833,143.3,-3.46,76,13,17.07,few clouds
84,Kaeo,NZ,-35.1,173.7833,73.33,79,100,9.42,overcast clouds
85,Ketchikan,US,55.3422,-131.6461,43.75,88,0,6.08,clear sky
86,Talnakh,RU,69.4865,88.3972,-29.13,99,59,3.53,broken clouds
87,Hobart,AU,-42.8794,147.3294,59.27,72,75,13.8,broken clouds
88,Saldanha,ZA,-33.0117,17.9442,55.45,77,89,15.41,overcast clouds
89,Naantali,FI,60.4674,22.0243,30.11,93,100,5.75,overcast clouds
90,Whitehorse,CA,60.7161,-135.0538,18.37,92,40,5.75,scattered clouds
91,Tuktoyaktuk,CA,69.4541,-133.0374,15.8,67,40,12.66,scattered clouds
92,Aras,ES,42.5617,-2.356,59.43,93,0,1.14,clear sky
93,Ribeira Grande,PT,38.5167,-28.7,62.78,62,9,8.99,clear sky
94,Upernavik,GL,72.7868,-56.1549,11.68,93,99,13.98,overcast clouds
95,Kavaratti,IN,10.5669,72.642,81.59,72,100,4.56,overcast clouds
96,Barrow,US,71.2906,-156.7887,28.42,74,0,18.41,clear sky
97,Vilhena,BR,-12.7406,-60.1458,76.1,55,100,2.98,overcast clouds
98,Rafai,CF,4.95,23.9167,68.61,64,100,1.66,overcast clouds
99,Boke,GN,10.9409,-14.2967,75.34,84,100,2.64,overcast clouds
100,Bubaque,GW,11.2833,-15.8333,83.08,69,100,3.91,overcast clouds
101,Adelanto,US,34.5828,-117.4092,52.09,22,0,6.55,clear sky
102,Matai,TZ,-8.3,31.5167,58.93,90,52,1.07,broken clouds
103,Hamilton,US,39.1834,-84.5333,34.23,83,100,17.27,overcast clouds
104,Cape Town,ZA,-33.9258,18.4232,61.27,71,0,13.8,clear sky
105,Bella Union,UY,-30.2752,-57.6007,73.69,41,1,4.74,clear sky
106,Saint-Georges,GD,12.0564,-61.7485,78.48,94,20,10.36,few clouds
107,Baloda Bazar,IN,21.6667,82.1667,60.33,61,0,2.13,clear sky
108,Victorville,US,34.5361,-117.2912,52.59,21,0,3.0,clear sky
109,Dubovskoye,RU,47.4092,42.7575,39.6,67,100,6.35,overcast clouds
110,Sabha,LY,27.0377,14.4283,61.12,33,1,6.62,clear sky
111,Kapaa,US,22.0752,-159.319,80.58,67,75,11.5,broken clouds
112,Puerto Baquerizo Moreno,EC,-0.9,-89.6,70.81,76,100,9.66,overcast clouds
113,San Pedro De Ycuamandiyu,PY,-24.0917,-57.0764,66.18,78,0,4.56,clear sky
114,Goundam,ML,16.4145,-3.6708,75.29,17,100,7.05,overcast clouds
115,Bluff,NZ,-46.6,168.3333,58.8,87,100,12.66,overcast clouds
116,Aksu,CN,41.1231,80.2644,36.23,47,0,8.79,clear sky
117,Brae,GB,60.3964,-1.353,46.96,88,100,39.95,moderate rain
118,Dubna,RU,56.7333,37.1667,24.98,96,100,2.71,overcast clouds
119,Pontianak,ID,-0.0333,109.3333,80.58,88,20,3.44,few clouds
120,Sao Filipe,CV,14.8961,-24.4956,77.43,69,89,1.77,overcast clouds
121,Port Hardy,CA,50.6996,-127.4199,33.98,100,40,3.44,scattered clouds
122,Castro,BR,-24.7911,-50.0119,56.77,86,0,6.24,clear sky
123,Mosquera,CO,4.7059,-74.2302,53.69,94,40,2.3,scattered clouds
124,Haines Junction,CA,60.7522,-137.5108,12.15,85,58,2.3,broken clouds
125,Manokwari,ID,-0.8667,134.0833,83.08,74,100,5.59,overcast clouds
126,Port Augusta,AU,-32.5,137.7667,71.26,29,0,7.31,clear sky
