City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Touros,BR,2022-11-12 23:59:14,-5.1989,-35.4608,78.76,81,6,11.25
68,Tuktoyaktuk,CA,2022-11-12 23:59:14,69.4541,-133.0374,10.4,92,100,3.44
69,Christchurch,NZ,2022-11-12 23:57:44,-43.5333,172.6333,74.41,56,70,12.66
70,Rampura,IN,2022-11-12 23:59:15,30.25,75.2333,60.03,38,7,4.94
71,Salihorsk,BY,2022-11-12 23:59:15,52.7876,27.5415,50.81,84,100,8.63
72,Balkanabat,TM,2022-11-12 23:59:16,39.5108,54.3671,53.04,49,94,2.73
73,Constantine,DZ,2022-11-12 23:59:16,36.365,6.6147,51.21,81,0,0.0
74,Ukiah,US,2022-11-12 23:59:16,39.1502,-123.2078,56.44,82,54,1.01
75,Ucluelet,CA,2022-11-12 23:59:17,48.9329,-125.5528,48.09,84,55,4.54
76,Hithadhoo,MV,2022-11-12 23:59:17,-0.6,73.0833,81.36,73,71,17.11
77,Alofi,NU,2022-11-12 23:59:17,-19.0595,-169.9187,82.29,61,78,18.41
78,Lebu,CL,2022-11-12 23:59:18,-37.6167,-73.65,54.88,81,34,8.86
79,Hasaki,JP,2022-11-12 23:59:18,35.7333,140.8333,71.22,69,3,21.16
80,Kodiak,US,2022-11-12 23:59:19,57.79,-152.4072,41.92,78,98,14.97
81,Vanimo,PG,2022-11-12 23:59:19,-2.6741,141.3028,82.38,78,100,4.52
82,Caravelas,BR,2022-11-12 23:59:19,-17.7125,-39.2481,76.03,85,86,9.35
83,Adrar,MR,2022-11-12 23:59:20,20.5022,-10.0711,71.8,13,11,9.4
84,Gogrial,SS,2022-11-12 23:59:20,8.5332,28.1004,73.51,31,100,5.26
85,Krasnoselkup,RU,2022-11-12 23:59:20,65.7,82.4667,-17.72,96,15,8.93
86,Veraval,IN,2022-11-12 23:59:21,20.9,70.3667,76.57,46,5,11.77
87,Bandarbeyla,SO,2022-11-12 23:59:21,9.4942,50.8122,77.38,75,12,14.63
88,Codrington,AU,2022-11-12 23:59:22,-38.2667,141.9667,62.4,95,77,7.16
89,College,US,2022-11-12 23:59:22,64.8569,-147.8028,23.09,91,98,3.38
90,Saint-Pierre,RE,2022-11-12 23:59:22,-21.3393,55.4781,67.91,64,0,3.44
91,Chokurdakh,RU,2022-11-12 23:59:23,70.6333,147.9167,-22.77,99,100,6.91
92,Banda Aceh,ID,2022-11-12 23:59:23,5.5577,95.3222,75.83,91,100,9.71
93,Aklavik,CA,2022-11-12 23:59:24,68.2191,-135.0107,12.2,92,40,3.44
94,Takoradi,GH,2022-11-12 23:59:24,4.8845,-1.7554,77.63,85,55,5.17
95,Lugovoy,KZ,2022-11-12 23:59:24,42.9472,72.7644,34.63,54,3,5.26
96,Ponta Do Sol,PT,2022-11-13 00:00:25,32.6667,-17.1,68.63,84,100,1.54
97,Sao Filipe,CV,2022-11-13 00:00:25,14.8961,-24.4956,76.66,72,4,7.85
